Station ID,Functional Class,Lat/Long,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"127-0143",5R : Rural Major Collector,"31.092600, -81.404060",2019,2410,Estimated,,,,,0.1106,0.53,5200,Short Term
"127-0145",5R : Rural Major Collector,"31.093600, -81.417714",2019,530,Estimated,,,,,0.1264,0.54,670,Short Term
"127-0147",5R : Rural Major Collector,"31.053053, -81.421001",2019,2320,Estimated,,,,,,,4430,Short Term
"127-0149",5R : Rural Major Collector,"31.036101, -81.419181",2019,570,Estimated,,,,,0.1264,0.55,720,Short Term
"127-0152",5R : Rural Major Collector,"31.042674, -81.413601",2019,1310,Estimated,,,,,0.1399,0.75,2210,Short Term
"127-0154",4U : Urban Minor Arterial,"31.161268, -81.560715",2019,9060,Actual,,,,,0.0998,0.62,11400,Short Term
"127-0155",4U : Urban Minor Arterial,"31.171586, -81.540907",2019,9950,Estimated,464,290,0.304,0.051,0.0918,0.62,12500,Short Term
"127-0156",4U : Urban Minor Arterial,"31.195413, -81.526491",2019,11900,Actual,518,262,0.226,0.101,0.0995,0.66,15000,Short Term
"127-0158",4U : Urban Minor Arterial,"31.203913, -81.507572",2019,15100,Estimated,811,113,0.327,0.027,0.0913,0.58,19000,Short Term
"127-0161",4U : Urban Minor Arterial,"31.203442, -81.505033",2019,15900,Actual,687,220,0.227,0.044,0.0887,0.58,20000,Short Term
"127-0163",4U : Urban Minor Arterial,"31.197865, -81.490535",2019,12500,Actual,584,123,0.207,0.024,0.0887,0.51,15800,Short Term
"127-0165",4U : Urban Minor Arterial,"31.193857, -81.478528",2019,12200,Actual,505,111,0.213,0.049,0.091,0.51,15400,Short Term
"127-0167",4U : Urban Minor Arterial,"31.193099, -81.474685",2019,6680,Estimated,219,40,0.257,0.045,0.086,0.51,8420,Short Term
"127-0169",4R : Rural Minor Arterial,"31.297982, -81.701726",2019,2360,Actual,89,190,0.085,0.382,0.1108,0.76,2970,Short Term
"127-0172",4R : Rural Minor Arterial,"31.258632, -81.618769",2019,2580,Estimated,121,271,0.439,0.479,0.1022,0.76,3250,Short Term
"127-0174",5R : Rural Major Collector,"31.211046, -81.681442",2019,2450,Actual,,,,,0.0964,0.66,4170,Short Term
"127-0176",5R : Rural Major Collector,"31.251303, -81.613271",2019,2950,Actual,,,,,0.0993,0.65,3720,Short Term
"127-0178",4U : Urban Minor Arterial,"31.257889, -81.601061",2019,5130,Actual,229,368,0.331,0.292,0.105,0.72,6470,Short Term
"127-0181",4U : Urban Minor Arterial,"31.275090, -81.525072",2019,5230,Estimated,303,309,0.385,0.405,0.1091,0.67,9540,Short Term
"127-0183",4U : Urban Minor Arterial,"31.283731, -81.505834",2019,3780,Actual,259,213,0.582,0.371,0.0993,0.54,6470,Short Term
"127-0185",6U : Urban Minor Collector,"31.308165, -81.475597",2019,3740,Actual,,,,,0.1061,0.54,6460,Short Term
"127-0187",3U : Urban Principal Arterial - Other,"31.135167, -81.479918",2019,4460,Estimated,198,73,0.633,0.113,0.1074,0.56,6100,Short Term
"127-0189",3U : Urban Principal Arterial - Other,"31.133759, -81.485259",2019,2970,Actual,129,66,0.404,0.235,0.1066,0.54,3750,Short Term
"127-0192",3U : Urban Principal Arterial - Other,"31.133053, -81.487893",2019,1980,Estimated,60,36,0.306,0.153,0.1015,0.58,2490,Short Term
"127-0194",3U : Urban Principal Arterial - Other,"31.133373, -81.489587",2019,2450,Actual,119,132,0.49,0.367,0.0964,0.59,3090,Short Term
"127-0196",3U : Urban Principal Arterial - Other,"31.136327, -81.490657",2019,2620,Estimated,108,132,0.347,0.539,0.0933,0.59,4080,Short Term
"127-0198",3U : Urban Principal Arterial - Other,"31.140323, -81.492073",2019,1410,Actual,,,,,0.0945,0.68,1960,Short Term
"127-0201",3U : Urban Principal Arterial - Other,"31.140573, -81.493648",2019,1220,Estimated,99,132,0.662,0.414,0.0868,0.58,1540,Short Term
"127-0203",3R : Rural Principal Arterial - Other,"31.142040, -81.494913",2019,3880,Actual,191,224,0.645,0.335,0.0897,0.52,5660,Short Term
"127-0205",3U : Urban Principal Arterial - Other,"31.146887, -81.495962",2019,4720,Estimated,193,245,0.15,0.214,0.085,0.53,5950,Short Term
"127-0207",3U : Urban Principal Arterial - Other,"31.151921, -81.497239",2019,6040,Actual,181,197,0.265,0.281,0.0947,0.67,7610,Short Term
"127-0212",3U : Urban Principal Arterial - Other,"31.157750, -81.498546",2019,10900,Estimated,454,129,0.397,0.074,0.1017,0.58,13800,Short Term
"127-0214",3U : Urban Principal Arterial - Other,"31.160266, -81.499470",2019,13600,Actual,498,263,0.191,0.037,0.086,0.67,17600,Short Term
"127-0216",3U : Urban Principal Arterial - Other,"31.164450, -81.500952",2019,13300,Estimated,581,170,0.348,0.015,0.0983,0.65,16800,Short Term
"127-0218",3U : Urban Principal Arterial - Other,"31.167790, -81.502150",2019,13700,Actual,478,231,0.226,0.08,0.0932,0.68,17500,Short Term
"127-0221",3U : Urban Principal Arterial - Other,"31.172179, -81.503466",2019,15200,Estimated,603,240,0.192,0.06,0.0922,0.64,19200,Short Term
"127-0223",3U : Urban Principal Arterial - Other,"31.182810, -81.504079",2019,16100,Actual,,,,,0.0929,0.75,20200,Short Term
"127-0225",3U : Urban Principal Arterial - Other,"31.194642, -81.505165",2019,23100,Estimated,1081,1111,0.345,0.227,0.0958,0.67,29100,Short Term
"127-0227",3U : Urban Principal Arterial - Other,"31.200399, -81.507354",2019,20300,Actual,757,1140,0.31,0.32,0.0967,0.77,25600,Short Term
