Station ID,Functional Class,Lat/Long,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"001-0101",3U : Urban Principal Arterial - Other,"31.715566, -82.381862",2019,4080,Estimated,304,357,0.07,0.087,0.0851,0.52,8480,Short Term
"001-0105",3U : Urban Principal Arterial - Other,"31.767425, -82.353494",2019,12300,Estimated,546,1450,0.227,0.672,0.0832,0.53,15500,Short Term
"001-0107",3U : Urban Principal Arterial - Other,"31.773846, -82.350339",2019,13800,Estimated,812,1466,0.052,0.106,0.0939,0.64,17400,Short Term
"001-0109",3U : Urban Principal Arterial - Other,"31.779420, -82.348340",2019,14700,Estimated,658,180,0.271,0.129,0.0985,0.61,22400,Short Term
"001-0112",3U : Urban Principal Arterial - Other,"31.786264, -82.350183",2019,8220,Estimated,447,552,0.047,0.067,0.0841,0.51,10400,Short Term
"001-0114",3U : Urban Principal Arterial - Other,"31.836961, -82.350464",2019,7090,Estimated,424,168,0.491,0.112,0.098,0.57,8930,Short Term
"001-0118",3R : Rural Principal Arterial - Other,"31.909230, -82.356209",2019,6290,Estimated,349,150,0.048,0.024,0.0791,0.56,11200,Short Term
"001-0121",4R : Rural Minor Arterial,"31.545377, -82.207381",2019,2340,Estimated,,,,,0.1229,0.8,2950,Short Term
"001-0123",4R : Rural Minor Arterial,"31.619640, -82.256298",2019,1930,Estimated,95,162,0.044,0.084,0.0838,0.8,2860,Short Term
"001-0125",4U : Urban Minor Arterial,"31.681804, -82.302289",2019,2090,Estimated,,,,,0.1355,0.8,2640,Short Term
"001-0127",4U : Urban Minor Arterial,"31.715189, -82.333479",2019,3640,Estimated,144,37,0.029,0.01,0.0945,0.8,4590,Short Term
"001-0129",4U : Urban Minor Arterial,"31.754227, -82.351726",2019,6280,Estimated,,,,,0.082,0.51,7920,Short Term
"001-0132",4U : Urban Minor Arterial,"31.762394, -82.354235",2019,11100,Estimated,370,130,0.029,0.012,0.0877,0.65,20000,Short Term
"001-0133",4R : Rural Minor Arterial,"31.712642, -82.520066",2019,2220,Estimated,146,243,0.741,0.602,0.0898,0.8,2800,Short Term
"001-0134",4R : Rural Minor Arterial,"31.747500, -82.544053",2019,2280,Estimated,111,51,0.045,0.023,0.0914,0.8,3190,Short Term
"001-0136",3R : Rural Principal Arterial - Other,"31.834717, -82.509427",2019,6900,Estimated,921,878,0.881,0.702,0.0757,0.6,8690,Short Term
"001-0138",3U : Urban Principal Arterial - Other,"31.811264, -82.442868",2019,6810,Estimated,443,459,0.057,0.067,0.0977,0.65,8660,Short Term
"001-0141",3U : Urban Principal Arterial - Other,"31.780829, -82.355952",2019,13200,Estimated,1074,1091,0.626,0.536,0.0893,0.6,16600,Short Term
"001-0143",3U : Urban Principal Arterial - Other,"31.775726, -82.340068",2019,10800,Estimated,832,378,0.065,0.035,0.086,0.51,13700,Short Term
"001-0145",3U : Urban Principal Arterial - Other,"31.745109, -82.253006",2019,3860,Estimated,244,449,0.386,0.823,0.0846,0.53,4870,Short Term
"001-0152",3R : Rural Principal Arterial - Other,"31.723260, -82.186845",2019,4330,Estimated,342,376,0.07,0.087,0.1131,0.56,5450,Short Term
"001-0156",5R : Rural Major Collector,"31.591760, -82.272024",2019,1060,Estimated,45,45,0.036,0.043,0.0931,0.8,1330,Short Term
"001-0158",5R : Rural Major Collector,"31.589284, -82.218167",2019,990,Estimated,57,97,0.304,1.418,0.0912,0.8,1310,Short Term
"001-0161",5R : Rural Major Collector,"31.590903, -82.179122",2019,1220,Estimated,93,36,0.066,0.03,0.0969,0.8,1750,Short Term
"001-0163",4R : Rural Minor Arterial,"31.577552, -82.208543",2019,580,Estimated,,,,,0.1115,0.8,770,Short Term
"001-0165",4R : Rural Minor Arterial,"31.659805, -82.207853",2019,1110,Estimated,62,45,0.051,0.041,0.0858,0.8,1780,Short Term
"001-0169",4R : Rural Minor Arterial,"31.726543, -82.196423",2019,1650,Estimated,80,72,0.313,0.438,0.1081,0.8,2200,Short Term
"001-0170",4R : Rural Minor Arterial,"31.776909, -82.155205",2019,830,Estimated,59,44,0.059,0.054,0.0955,0.8,1230,Short Term
"001-0172",4R : Rural Minor Arterial,"31.848848, -82.098418",2019,3440,Estimated,140,124,0.629,0.21,0.1455,0.8,4410,Short Term
"001-0174",6U : Urban Minor Collector,"31.784216, -82.345941",2019,3110,Estimated,,,,,0.0835,0.5,3970,Short Term
"001-0176",6U : Urban Minor Collector,"31.788728, -82.328615",2019,2400,Estimated,,,,,,,3030,Short Term
"001-0178",4R : Rural Minor Arterial,"31.795076, -82.280414",2019,2580,Estimated,245,194,0.09,0.075,0.0908,0.8,3250,Short Term
"001-0181",4R : Rural Minor Arterial,"31.837396, -82.132140",2019,2070,Estimated,122,180,0.448,0.648,0.0897,0.8,2710,Short Term
"001-0183",4R : Rural Minor Arterial,"31.831560, -82.086470",2019,990,Actual,17,165,0.303,0.91,0.1072,0.56,1350,CCS
"001-0185",5R : Rural Major Collector,"31.602850, -82.308160",2019,400,Actual,17,15,1,0,0.1275,0.51,500,CCS
"001-0187",6U : Urban Minor Collector,"31.683151, -82.332266",2019,1080,Estimated,85,44,0.567,0.094,0.1161,0.8,1440,Short Term
"001-0189",6U : Urban Minor Collector,"31.715164, -82.359191",2019,960,Estimated,91,114,0.083,0.119,0.0929,0.8,1210,Short Term
"001-0194",6U : Urban Minor Collector,"31.759535, -82.369756",2019,2170,Estimated,191,346,0.986,0.845,0.0897,0.8,2740,Short Term
"001-0196",6U : Urban Minor Collector,"31.769117, -82.356611",2019,170,Estimated,,,,,,,210,Short Term
"001-0198",5R : Rural Major Collector,"31.733840, -82.520487",2019,260,Estimated,,,,,,,350,Short Term
"001-0201",5R : Rural Major Collector,"31.765600, -82.517100",2019,210,Estimated,,,,,,,260,Short Term
"001-0203",5R : Rural Major Collector,"31.820523, -82.507136",2019,470,Estimated,45,54,2.137,0.427,0.1047,0.8,660,Short Term
"001-0205",5R : Rural Major Collector,"31.747644, -82.533079",2019,510,Estimated,,,,,0.1047,0.5,650,Short Term
"001-0207",5R : Rural Major Collector,"31.749796, -82.489685",2019,270,Estimated,,,,,,,340,Short Term
"001-0209",6U : Urban Minor Collector,"31.770264, -82.419915",2019,1190,Estimated,84,123,0.773,0.601,0.0988,0.8,1500,Short Term
"001-0212",6U : Urban Minor Collector,"31.777539, -82.355672",2019,3380,Estimated,,,,,0.0958,0.5,4260,Short Term
"001-0214",5R : Rural Major Collector,"31.867804, -82.400627",2019,660,Estimated,,,,,0.1283,0.5,830,Short Term
"001-0216",5R : Rural Major Collector,"31.872260, -82.315478",2019,520,Estimated,,,,,0.1205,0.8,800,Short Term
"001-0218",6U : Urban Minor Collector,"31.810851, -82.308793",2019,1490,Estimated,,,,,,,1880,Short Term
"001-0221",5R : Rural Major Collector,"31.879089, -82.189855",2019,630,Estimated,,,,,,,800,Short Term
"001-0223",5R : Rural Major Collector,"31.544223, -82.175085",2019,300,Estimated,,,,,0.1237,0.8,380,Short Term
"001-0225",5R : Rural Major Collector,"31.509902, -82.144589",2019,250,Estimated,,,,,,,310,Short Term
"001-0229",6U : Urban Minor Collector,"31.851476, -82.405537",2019,670,Estimated,,,,,0.1259,0.5,980,Short Term
"001-0232",6R : Rural Minor Collector,"31.646052, -82.243373",2019,210,Estimated,,,,,,,330,Short Term
"001-0234",6U : Urban Minor Collector,"31.748296, -82.360228",2019,820,Estimated,60,38,0.748,0.125,0.0935,0.8,1030,Short Term
"001-0236",6U : Urban Minor Collector,"31.752800, -82.373027",2019,630,Estimated,39,46,0.809,1.133,0.0906,0.8,820,Short Term
"001-0238",6U : Urban Minor Collector,"31.767853, -82.345218",2019,1080,Estimated,92,148,1.043,1.327,0.0938,0.8,1360,Short Term
"001-0241",6U : Urban Minor Collector,"31.750177, -82.347202",2019,770,Estimated,,,,,0.1141,0.5,970,Short Term
"001-7001",5R : Rural Major Collector,"31.712123, -82.519964",2019,430,Estimated,,,,,0.1405,0.5,550,Short Term
"001-8005",6R : Rural Minor Collector,"31.725881, -82.517319",2019,250,Estimated,,,,,0.1236,0.8,320,Short Term
"001-8011",7R : Rural Local,"31.697458, -82.368815",2019,220,Estimated,,,,,0.1473,0.5,350,Short Term
"001-8027",7R : Rural Local,"31.803200, -82.156700",2019,80,Estimated,,,,,,,100,Short Term
"001-8031",7R : Rural Local,"31.891501, -82.181727",2019,160,Estimated,,,,,,,220,Short Term
"001-8045",7R : Rural Local,"31.800750, -82.490337",2019,340,Estimated,,,,,,,550,Short Term
"001-8046",6R : Rural Minor Collector,"31.725088, -82.502729",2019,300,Estimated,16,15,0.053,0.05,0.1728,0.8,370,Short Term
"001-8047",6U : Urban Minor Collector,"31.756368, -82.380572",2019,1610,Estimated,,,,,,,2100,Short Term
"001-8048",6U : Urban Minor Collector,"31.733697, -82.414303",2019,1270,Estimated,80,54,0.056,0.042,0.0978,0.8,1790,Short Term
"001-8049",6R : Rural Minor Collector,"31.720943, -82.457403",2019,470,Estimated,45,54,2.137,0.427,0.1047,0.8,590,Short Term
"001-8050",6U : Urban Minor Collector,"31.787100, -82.388100",2019,140,Estimated,,,,,,,180,Short Term
"001-8052",6R : Rural Minor Collector,"31.672191, -82.314332",2019,60,Estimated,10,1,1.754,0,0.1579,0.8,70,Short Term
"001-8056",7U : Urban Local,"31.754099, -82.318883",2019,130,Estimated,12,8,1.575,1.575,0.126,0.8,160,Short Term
"001-8060",7R : Rural Local,"31.848100, -82.187800",2019,30,Estimated,,,,,,,40,Short Term
"001-8061",7R : Rural Local,"31.829463, -82.198791",2019,130,Estimated,,,,,,,230,Short Term
"001-8062",7R : Rural Local,"31.855636, -82.197010",2019,110,Estimated,,,,,,,240,Short Term
"001-8063",6R : Rural Minor Collector,"31.861420, -82.335040",2019,330,Estimated,,,,,,,410,Short Term
"001-8064",6U : Urban Minor Collector,"31.734100, -82.302100",2019,460,Estimated,,,,,,,580,Short Term
"001-8065",6R : Rural Minor Collector,"31.704050, -82.277583",2019,370,Estimated,,,,,,,490,Short Term
"001-8066",6R : Rural Minor Collector,"31.693335, -82.447194",2019,290,Estimated,,,,,,,480,Short Term
"001-8067",6R : Rural Minor Collector,"31.838027, -82.326396",2019,520,Estimated,29,46,,1.341,0.09,0.8,660,Short Term
"001-8068",6R : Rural Minor Collector,"31.869364, -82.308040",2019,410,Estimated,,,,,,,570,Short Term
"003-0101",4R : Rural Minor Arterial,"31.202334, -82.914020",2019,1760,Estimated,,,,,0.0762,0.8,2760,Short Term
"003-0105",3R : Rural Principal Arterial - Other,"31.255679, -82.870097",2019,1980,Estimated,112,198,0.054,0.1,0.0934,0.8,2890,Short Term
"003-0107",3R : Rural Principal Arterial - Other,"31.273332, -82.860218",2019,3440,Estimated,317,235,0.659,0.3,0.0899,0.8,4790,Short Term
"003-0109",3R : Rural Principal Arterial - Other,"31.295028, -82.853235",2019,5080,Estimated,271,274,0.048,0.054,0.0839,0.8,7350,Short Term
"003-0112",3R : Rural Principal Arterial - Other,"31.311360, -82.848464",2019,7380,Estimated,405,87,0.363,0.112,0.0996,0.61,10300,Short Term
"003-0114",3R : Rural Principal Arterial - Other,"31.356018, -82.841115",2019,5520,Estimated,277,256,0.046,0.046,0.0899,0.56,6950,Short Term
"003-0118",3R : Rural Principal Arterial - Other,"31.349296, -83.073796",2019,5040,Estimated,326,683,0.388,0.777,0.0748,0.54,10400,Short Term
"003-0121",3R : Rural Principal Arterial - Other,"31.341420, -83.048892",2019,7710,Estimated,535,601,0.062,0.078,0.079,0.57,14200,Short Term
"003-0123",3R : Rural Principal Arterial - Other,"31.339238, -83.041636",2019,9360,Estimated,512,717,0.308,0.429,0.0802,0.52,12300,Short Term
"003-0125",3R : Rural Principal Arterial - Other,"31.320758, -82.977650",2019,5560,Estimated,389,929,0.062,0.167,0.085,0.5,7240,Short Term
"003-0132",3R : Rural Principal Arterial - Other,"31.307110, -82.901540",2019,4910,Actual,168,955,0.326,1.506,0.1038,0.52,6190,CCS
"003-0134",3R : Rural Principal Arterial - Other,"31.299563, -82.862391",2019,5950,Estimated,644,986,0.951,0.882,0.0799,0.52,7500,Short Term
"003-0136",3R : Rural Principal Arterial - Other,"31.297249, -82.847887",2019,4550,Estimated,346,482,0.07,0.106,0.0896,0.57,5740,Short Term
"003-0138",3R : Rural Principal Arterial - Other,"31.295800, -82.839800",2019,5040,Actual,129,996,0.298,1.329,0.1039,0.55,6350,CCS
"003-0141",3R : Rural Principal Arterial - Other,"31.281746, -82.763244",2019,4320,Estimated,346,870,0.548,0.906,0.0804,0.59,5440,Short Term
"003-0143",3R : Rural Principal Arterial - Other,"31.272662, -82.708114",2019,4120,Estimated,288,678,0.063,0.165,0.0827,0.52,5190,Short Term
"003-0145",5R : Rural Major Collector,"31.201093, -82.928882",2019,110,Estimated,7,,0.038,0.004,0.1482,0.8,210,Short Term
"003-0147",5R : Rural Major Collector,"31.303666, -82.842494",2019,1040,Estimated,64,8,0.057,0.007,0.1034,0.8,1480,Short Term
"003-0152",5R : Rural Major Collector,"31.348079, -82.764998",2019,860,Estimated,51,164,0.051,0.191,0.106,0.8,1470,Short Term
"003-0154",3R : Rural Principal Arterial - Other,"31.240779, -82.858338",2019,1410,Estimated,102,125,0.067,0.088,0.0955,0.8,2030,Short Term
"003-0158",5R : Rural Major Collector,"31.343127, -83.047374",2019,910,Estimated,32,10,0.033,0.011,0.1176,0.8,1180,Short Term
"003-0161",5R : Rural Major Collector,"31.361063, -83.064522",2019,550,Estimated,47,59,0.085,0.107,0.102,0.8,880,Short Term
"003-0165",4R : Rural Minor Arterial,"31.312787, -83.046642",2019,1940,Estimated,115,114,0.048,0.059,0.097,0.8,2880,Short Term
"003-0167",4R : Rural Minor Arterial,"31.338330, -83.047723",2019,3350,Estimated,232,271,0.369,0.215,0.0898,0.8,4600,Short Term
"003-0169",4R : Rural Minor Arterial,"31.341867, -83.029521",2019,2240,Estimated,234,319,0.085,0.143,0.0809,0.8,2940,Short Term
"003-0176",5R : Rural Major Collector,"31.356321, -83.050827",2019,420,Estimated,,,,,,,530,Short Term
"003-0181",5R : Rural Major Collector,"31.302398, -82.853360",2019,1090,Estimated,,,,,0.0959,0.5,1380,Short Term
"003-0183",5R : Rural Major Collector,"31.356508, -82.883628",2019,370,Estimated,,,,,0.1305,0.5,460,Short Term
"003-0189",5R : Rural Major Collector,"31.362945, -82.709193",2019,300,Estimated,17,16,0.056,0.055,0.1009,0.8,490,Short Term
"003-0194",5R : Rural Major Collector,"31.315886, -82.691613",2019,370,Estimated,15,12,,0.272,0.0978,0.8,720,Short Term
"003-0196",5R : Rural Major Collector,"31.266106, -82.729122",2019,310,Estimated,,,,,0.1208,0.5,390,Short Term
"003-0198",5R : Rural Major Collector,"31.276054, -82.734361",2019,450,Estimated,,,,,0.1035,0.8,580,Short Term
"003-0201",5R : Rural Major Collector,"31.283740, -82.735446",2019,350,Estimated,,,,,0.1028,0.5,440,Short Term
"003-0203",6R : Rural Minor Collector,"31.231017, -82.788953",2019,210,Estimated,,,,,0.1906,0.5,260,Short Term
"003-0205",6R : Rural Minor Collector,"31.296025, -82.849535",2019,1720,Estimated,,,,,,,2390,Short Term
"003-0207",6R : Rural Minor Collector,"31.294421, -82.858059",2019,380,Estimated,,,,,,,660,Short Term
"003-8011",7R : Rural Local,"31.365869, -82.993572",2019,140,Estimated,,,,,,,170,Short Term
"003-8019",7R : Rural Local,"31.305605, -82.848901",2019,680,Estimated,,,,,,,950,Short Term
"003-8020",7R : Rural Local,"31.261191, -82.843619",2019,180,Estimated,30,7,1.105,,0.1215,0.8,300,Short Term
"003-8021",6R : Rural Minor Collector,"31.311774, -83.031702",2019,180,Estimated,,,,,,,310,Short Term
"003-8022",7R : Rural Local,"31.346867, -82.983901",2019,100,Estimated,6,3,0.057,0.028,0.138,0.8,130,Short Term
"003-8023",6R : Rural Minor Collector,"31.343707, -82.947211",2019,130,Estimated,,,,,,,230,Short Term
"003-8024",6R : Rural Minor Collector,"31.362200, -82.943600",2019,130,Estimated,,,,,,,160,Short Term
"003-8025",6R : Rural Minor Collector,"31.391741, -82.932918",2019,300,Estimated,21,7,1.347,,0.1818,0.8,630,Short Term
"003-8026",7R : Rural Local,"31.343800, -83.038700",2019,410,Estimated,,,,,,,560,Short Term
"003-8027",7R : Rural Local,"31.380193, -83.040235",2019,400,Estimated,,,,,,,510,Short Term
"003-8028",7R : Rural Local,"31.263540, -82.780405",2019,160,Estimated,,,,,,,220,Short Term
"003-8029",6R : Rural Minor Collector,"31.364461, -82.864595",2019,80,Estimated,,3,0,0,0.12,0.8,200,Short Term
"003-8030",7R : Rural Local,"31.256839, -82.801681",2019,30,Estimated,,,,,,,80,Short Term
"003-8031",6R : Rural Minor Collector,"31.234465, -82.967220",2019,70,Estimated,14,,,,0.1366,0.8,90,Short Term
"003-8034",7R : Rural Local,"31.347391, -82.732209",2019,80,Estimated,6,,2.439,0,0.1341,0.8,100,Short Term
"003-8035",7R : Rural Local,"31.393085, -82.865659",2019,50,Estimated,,,,,,,60,Short Term
"003-8036",6R : Rural Minor Collector,"31.335748, -82.830526",2019,260,Estimated,18,7,0.069,0.026,0.1182,0.8,320,Short Term
"003-8037",7R : Rural Local,"31.318325, -82.908633",2019,350,Estimated,10,7,0.286,0.286,0.1171,0.8,470,Short Term
"003-8038",7R : Rural Local,"31.341865, -82.909325",2019,280,Estimated,,,,,,,390,Short Term
"003-8039",7R : Rural Local,"31.362800, -82.897608",2019,190,Estimated,23,2,0.114,0.01,0.1763,0.8,240,Short Term
"005-0101",3R : Rural Principal Arterial - Other,"31.444518, -82.433743",2019,4440,Estimated,260,406,0.533,0.696,0.0923,0.61,7830,Short Term
"005-0105",3R : Rural Principal Arterial - Other,"31.483352, -82.452706",2019,5520,Actual,306,144,0.38,0.109,0.0898,0.58,6960,Short Term
"005-0109",3R : Rural Principal Arterial - Other,"31.524590, -82.462730",2019,7120,Actual,685,1017,0.772,0.814,0.0779,0.54,10600,Short Term
"005-0112",3R : Rural Principal Arterial - Other,"31.536617, -82.463274",2019,10100,Estimated,665,227,0.529,0.336,0.0971,0.55,15800,Short Term
"005-0114",3R : Rural Principal Arterial - Other,"31.540948, -82.462379",2019,12500,Actual,521,403,0.417,0.297,0.0863,0.52,18500,Short Term
"005-0116",3R : Rural Principal Arterial - Other,"31.544415, -82.461681",2019,6920,Estimated,923,880,0.879,0.7,0.0755,0.6,10600,Short Term
"005-0118",3R : Rural Principal Arterial - Other,"31.553019, -82.465263",2019,6600,Actual,437,331,0.455,0.409,0.0843,0.54,11000,Short Term
"005-0120",3R : Rural Principal Arterial - Other,"31.559585, -82.467021",2019,6770,Estimated,548,505,0.609,0.38,0.0853,0.52,10300,Short Term
"005-0123",3R : Rural Principal Arterial - Other,"31.578576, -82.461771",2019,6160,Actual,802,339,0.763,0.244,0.0895,0.63,8800,Short Term
"005-0125",3R : Rural Principal Arterial - Other,"31.608610, -82.461860",2019,5380,Actual,126,726,,,0.1129,0.58,7480,CCS
"005-0127",4R : Rural Minor Arterial,"31.641151, -82.469024",2019,2230,Estimated,146,244,0.739,0.6,0.0896,0.8,3990,Short Term
"005-0129",4R : Rural Minor Arterial,"31.689481, -82.504144",2019,2260,Actual,234,124,0.751,0.177,0.0968,0.8,4110,Short Term
"005-0134",5R : Rural Major Collector,"31.489995, -82.547549",2019,680,Estimated,,,,,0.0988,0.5,920,Short Term
"005-0136",5R : Rural Major Collector,"31.518632, -82.491050",2019,1170,Estimated,67,14,0.6,0.172,0.0926,,1790,Short Term
"005-0138",5R : Rural Major Collector,"31.538205, -82.469472",2019,1580,Estimated,,,,,0.1711,0.5,1990,Short Term
"005-0141",5R : Rural Major Collector,"31.541279, -82.468879",2019,2060,Estimated,,,,,,,2600,Short Term
"005-0143",4R : Rural Minor Arterial,"31.540988, -82.564691",2019,5450,Estimated,436,634,0.434,0.491,0.0975,0.8,9000,Short Term
"005-0145",4R : Rural Minor Arterial,"31.544371, -82.524194",2019,6150,Actual,364,396,0.407,0.455,0.1049,0.8,8280,Short Term
"005-0147",4R : Rural Minor Arterial,"31.543063, -82.480784",2019,9490,Estimated,,,,,,,13900,Short Term
"005-0149",5R : Rural Major Collector,"31.541479, -82.463410",2019,1910,Actual,354,138,3.398,0.209,0.104,0.8,2410,Short Term
"005-0152",4R : Rural Minor Arterial,"31.540735, -82.473126",2019,7290,Actual,279,243,0.165,0.22,0.0908,0.62,9180,Short Term
"005-0154",4R : Rural Minor Arterial,"31.539545, -82.464845",2019,6310,Estimated,405,282,0.408,0.31,0.0873,0.51,11000,Short Term
"005-0156",4R : Rural Minor Arterial,"31.539861, -82.443723",2019,7100,Actual,494,327,0.408,0.296,0.0829,0.53,10100,Short Term
"005-0158",4R : Rural Minor Arterial,"31.544907, -82.417881",2019,5910,Estimated,313,222,0.488,0.157,0.0854,0.72,10000,Short Term
"005-0161",4R : Rural Minor Arterial,"31.544512, -82.383247",2019,3130,Actual,187,94,0.736,0.352,0.1072,0.8,4070,Short Term
"005-0163",4R : Rural Minor Arterial,"31.525785, -82.357612",2019,1270,Estimated,105,151,0.485,0.647,0.0922,0.8,1870,Short Term
"005-0167",4R : Rural Minor Arterial,"31.499650, -82.304584",2019,1120,Actual,70,47,0.626,0.268,0.1145,0.8,1410,Short Term
"005-0169",5R : Rural Major Collector,"31.560817, -82.536626",2019,620,Actual,,,,,0.1066,0.8,780,Short Term
"005-0175",5R : Rural Major Collector,"31.623116, -82.565189",2019,340,Estimated,,,,,0.1223,0.5,420,Short Term
"005-0179",5R : Rural Major Collector,"31.547233, -82.463785",2019,1110,Estimated,,,,,0.1199,0.8,1400,Short Term
"005-0182",5R : Rural Major Collector,"31.547298, -82.475520",2019,1390,Estimated,,,,,0.1006,0.5,1750,Short Term
"005-0184",5R : Rural Major Collector,"31.574704, -82.506075",2019,1330,Estimated,,,,,0.1108,0.5,1680,Short Term
"005-0188",5R : Rural Major Collector,"31.602671, -82.533078",2019,630,Estimated,,,,,0.1303,0.8,860,Short Term
"005-0192",5R : Rural Major Collector,"31.613510, -82.518810",2019,520,Estimated,,,,,,,660,Short Term
"005-0195",5R : Rural Major Collector,"31.630655, -82.522506",2019,190,Actual,,,,,0.1215,0.8,240,Short Term
"005-0200",5R : Rural Major Collector,"31.707600, -82.520500",2019,470,Estimated,,,,,,,600,Short Term
"005-0202",3R : Rural Principal Arterial - Other,"31.637173, -82.451838",2019,3970,Estimated,349,253,0.726,0.441,0.0864,0.53,7270,Short Term
"005-0204",3R : Rural Principal Arterial - Other,"31.645998, -82.444404",2019,3210,Actual,309,449,0.717,0.561,0.0827,0.83,5230,Short Term
"005-0206",5R : Rural Major Collector,"31.542581, -82.438290",2019,1350,Estimated,,,,,0.1124,0.5,1700,Short Term
"005-0208",5R : Rural Major Collector,"31.557280, -82.441242",2019,700,Actual,,,,,0.1482,0.8,880,Short Term
"005-0210",5R : Rural Major Collector,"31.573428, -82.423412",2019,420,Estimated,,,,,0.1069,0.5,530,Short Term
"005-0213",5R : Rural Major Collector,"31.601221, -82.393127",2019,680,Estimated,,,,,0.1101,0.5,880,Short Term
"005-0215",5R : Rural Major Collector,"31.620664, -82.374815",2019,410,Estimated,18,14,0.728,0.728,0.1117,0.8,730,Short Term
"005-0217",5R : Rural Major Collector,"31.543534, -82.343268",2019,450,Estimated,,,,,,,570,Short Term
"005-0219",5R : Rural Major Collector,"31.536271, -82.278400",2019,530,Actual,,,,,0.1479,0.8,660,Short Term
"005-0221",6R : Rural Minor Collector,"31.497951, -82.366933",2019,140,Actual,,,,,0.1581,0.8,170,Short Term
"005-0223",6R : Rural Minor Collector,"31.534300, -82.413900",2019,530,Estimated,,,,,0.1799,0.8,670,Short Term
"005-0226",5R : Rural Major Collector,"31.482336, -82.354995",2019,480,Estimated,,,,,0.0958,0.8,700,Short Term
"005-0228",5R : Rural Major Collector,"31.495022, -82.363130",2019,830,Actual,65,14,0.121,0,0.1077,0.8,1040,Short Term
"005-0230",5R : Rural Major Collector,"31.522556, -82.367623",2019,1070,Actual,74,55,0.466,0.186,0.0904,0.8,1350,Short Term
"005-0231",5R : Rural Major Collector,"31.565235, -82.339173",2019,1290,Actual,83,48,0.31,0.155,0.0908,0.8,1780,Short Term
"005-0234",5R : Rural Major Collector,"31.446368, -82.376793",2019,410,Actual,,,,,0.1053,0.8,520,Short Term
"005-0236",5R : Rural Major Collector,"31.483485, -82.421448",2019,820,Estimated,,,,,0.1118,0.8,1350,Short Term
"005-0240",5R : Rural Major Collector,"31.519791, -82.444542",2019,1070,Estimated,,,,,0.1111,0.5,1340,Short Term
"005-0243",5R : Rural Major Collector,"31.530948, -82.459261",2019,1720,Estimated,,,,,0.0989,0.5,2160,Short Term
"005-0245",5R : Rural Major Collector,"31.538940, -82.468400",2019,1940,Actual,133,334,0.669,1.699,0.0865,0.8,2450,Short Term
"005-0247",5R : Rural Major Collector,"31.436173, -82.420548",2019,290,Actual,,,,,0.1376,0.8,410,Short Term
"005-0249",5R : Rural Major Collector,"31.471673, -82.372316",2019,410,Estimated,,,,,,,530,Short Term
"005-0251",5R : Rural Major Collector,"31.545873, -82.468738",2019,1830,Actual,137,298,0.711,1.204,0.087,0.8,2950,Short Term
"005-0253",5R : Rural Major Collector,"31.552374, -82.467070",2019,680,Actual,,,,,0.1028,0.8,850,Short Term
"005-0255",5R : Rural Major Collector,"31.484204, -82.560452",2019,330,Estimated,,,,,0.1034,0.5,480,Short Term
"005-0257",5R : Rural Major Collector,"31.499344, -82.316045",2019,240,Estimated,,,,,,,400,Short Term
"005-8003",7R : Rural Local,"31.526000, -82.282100",2019,40,Estimated,,,,,,,50,Short Term
"005-8009",7R : Rural Local,"31.574419, -82.607906",2019,240,Estimated,,,,,0.1166,0.8,310,Short Term
"005-8015",7R : Rural Local,"31.561693, -82.502365",2019,290,Estimated,,,,,0.1103,0.5,360,Short Term
"005-8023",7R : Rural Local,"31.545514, -82.476522",2019,230,Estimated,,,,,0.1108,0.5,320,Short Term
"005-8026",6R : Rural Minor Collector,"31.460832, -82.454930",2019,380,Estimated,15,13,0.036,0.032,0.1374,0.8,480,Short Term
"005-8027",6R : Rural Minor Collector,"31.464608, -82.447898",2019,530,Estimated,35,72,0.75,0.563,0.1013,0.8,740,Short Term
"005-8028",6R : Rural Minor Collector,"31.474893, -82.498760",2019,300,Estimated,,,,,,,460,Short Term
"005-8029",6R : Rural Minor Collector,"31.493745, -82.499626",2019,290,Estimated,23,19,0.059,0.066,0.0963,0.8,360,Short Term
"005-8030",6R : Rural Minor Collector,"31.607488, -82.573597",2019,290,Estimated,,,,,,,410,Short Term
"005-8032",7R : Rural Local,"31.633431, -82.592481",2019,40,Estimated,2,2,2.632,0,0.1316,0.8,90,Short Term
"005-8034",6R : Rural Minor Collector,"31.672800, -82.465400",2019,160,Estimated,,,,,,,220,Short Term
"005-8035",6R : Rural Minor Collector,"31.532850, -82.286590",2019,130,Estimated,12,8,1.504,1.504,0.1203,0.8,180,Short Term
"005-8036",5R : Rural Major Collector,"31.551536, -82.477316",2019,1460,Estimated,68,29,0.039,0.02,0.12,0.8,1840,Short Term
"007-0101",5R : Rural Major Collector,"31.135951, -84.519135",2019,1010,Actual,,,,,0.0908,0.54,1560,Short Term
"007-0105",5R : Rural Major Collector,"31.241009, -84.526824",2019,110,Estimated,20,15,0.935,,0.1308,0.57,200,Short Term
"007-0110",4R : Rural Minor Arterial,"31.189910, -84.519414",2019,1950,Estimated,125,446,0.738,1.687,0.0886,0.51,2700,Short Term
"007-0112",4R : Rural Minor Arterial,"31.211966, -84.481817",2019,3080,Actual,,,,,0.077,0.51,4200,Short Term
